---------------------------------------- 
Reaction: e+N(D0)->e+N2(D0)               
Type: Ground/MomXfer            
Delta(eV): 0.00           
Mass(AMU): (5.4858E-4:14.0)->(5.4858E-4:14.0)
Charge: (-1:0)->(-1:0)              
#  C1    N    Elastic                  
#  Energy (eV)	Rate coefficient (m3/s)
---------------------------------------- 
<E>(eV)          Rate_Constant(cm^3/s)
22.06	0.1414E-15
24.24	0.1401E-15
26.69	0.1380E-15
29.50	0.1348E-15
32.68	0.1309E-15
36.33	0.1263E-15
40.53	0.1211E-15
45.41	0.1153E-15
51.12	0.1090E-15
57.85	0.1024E-15
65.86	0.9550E-16
75.48	0.8846E-16
87.15	0.8139E-16
101.6	0.7427E-16
---------------------------------------- 
Reaction: e+N(D0)->e+N2(2s_2p4_4Pe)
Type: Excitation
Delta(eV): 10.95          
Mass(AMU): (5.4858E-4:14.0)->(5.4858E-4:14.0)
Charge: (-1:0)->(-1:0)              
#  C6    N    Excitation    10.95 eV  
#  Energy (eV)	Rate coefficient (m3/s)
---------------------------------------- 
<E>(eV)          Rate_Constant(cm^3/s)  
1.214	0.000
1.248	0.1223E-25
1.285	0.1300E-24
1.326	0.1348E-23
1.371	0.9902E-23
1.420	0.6196E-22
1.476	0.3304E-21
1.537	0.1542E-20
1.606	0.6336E-20
1.685	0.2322E-19
1.774	0.7683E-19
1.877	0.2325E-18
1.997	0.6395E-18
2.137	0.1611E-17
2.301	0.3766E-17
2.492	0.8197E-17
2.715	0.1653E-16
2.971	0.3108E-16
3.261	0.5492E-16
3.584	0.9164E-16
3.938	0.1439E-15
4.320	0.2162E-15
4.730	0.3123E-15
5.163	0.4324E-15
5.616	0.5774E-15
6.098	0.7540E-15
6.603	0.9578E-15
7.137	0.1191E-14
7.705	0.1454E-14
8.311	0.1747E-14
8.960	0.2067E-14
9.662	0.2417E-14
10.43	0.2794E-14
11.26	0.3195E-14
12.17	0.3620E-14
13.17	0.4065E-14
14.29	0.4527E-14
15.52	0.5000E-14
16.89	0.5484E-14
18.42	0.5970E-14
20.13	0.6453E-14
22.06	0.6932E-14
24.24	0.7398E-14
26.69	0.7847E-14
29.50	0.8277E-14
32.68	0.8679E-14
36.33	0.9050E-14
40.53	0.9390E-14
45.41	0.9693E-14
51.12	0.9956E-14
57.85	0.1018E-13
65.86	0.1036E-13
75.48	0.1049E-13
87.15	0.1057E-13
101.6	0.1061E-13
---------------------------------------- 
Reaction: e+N(D0)->e+N2(2p2_3P_3p_2So)
Type: Excitation
Delta(eV): 11.62       
Mass(AMU): (5.4858E-4:14.0)->(5.4858E-4:14.0)
Charge: (-1:0)->(-1:0)              
#  C7    N    Excitation    11.62 eV  
#  Energy (eV)	Rate coefficient (m3/s)
---------------------------------------- 
<E>(eV)          Rate_Constant(cm^3/s)
1.285	0.000
1.326	0.2271E-25
1.371	0.1820E-24
1.420	0.1227E-23
1.476	0.6950E-23
1.537	0.3407E-22
1.606	0.1455E-21
1.685	0.5494E-21
1.774	0.1858E-20
1.877	0.5702E-20
1.997	0.1580E-19
2.137	0.3984E-19
2.301	0.9272E-19
2.492	0.1998E-18
2.715	0.3969E-18
2.971	0.7323E-18
3.261	0.1264E-17
3.584	0.2054E-17
3.938	0.3129E-17
4.320	0.4547E-17
4.730	0.6338E-17
5.163	0.8444E-17
5.616	0.1083E-16
6.098	0.1355E-16
6.603	0.1646E-16
7.137	0.1956E-16
7.705	0.2279E-16
8.311	0.2610E-16
8.960	0.2944E-16
9.662	0.3278E-16
10.43	0.3610E-16
11.26	0.3932E-16
12.17	0.4242E-16
13.17	0.4535E-16
14.29	0.4809E-16
